<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1995.01.02	0.77600	0.77700	0.77500	0.77550	351	0	50
1995.01.03	0.77560	0.77650	0.76770	0.76890	1091	0	50
1995.01.04	0.76830	0.77160	0.76520	0.76980	1131	0	50
1995.01.05	0.76850	0.77120	0.76700	0.76920	771	0	50
1995.01.06	0.76910	0.77120	0.76410	0.76600	1111	0	50
1995.01.09	0.76530	0.76640	0.76140	0.76370	841	0	50
1995.01.10	0.76260	0.76820	0.76240	0.76760	661	0	50
1995.01.11	0.76730	0.77080	0.76560	0.76920	851	0	50
1995.01.12	0.76930	0.77290	0.76500	0.76650	1301	0	50
1995.01.13	0.76620	0.76820	0.75550	0.75650	1571	0	50
1995.01.16	0.75780	0.76200	0.75690	0.76020	781	0	50
1995.01.17	0.75990	0.76400	0.75700	0.75950	1361	0	50
1995.01.18	0.75870	0.76300	0.75710	0.76150	901	0	50
1995.01.19	0.76080	0.76890	0.76040	0.76890	891	0	50
1995.01.20	0.76840	0.77180	0.76660	0.77000	881	0	50
1995.01.23	0.76840	0.77070	0.76700	0.76910	671	0	50
1995.01.24	0.76870	0.77230	0.76850	0.77230	401	0	50
1995.01.25	0.77220	0.77450	0.76400	0.76580	1461	0	50
1995.01.26	0.76540	0.76670	0.76280	0.76560	761	0	50
1995.01.27	0.76540	0.76690	0.75850	0.75950	1091	0	50
1995.01.30	0.75840	0.76100	0.75500	0.76040	1001	0	50
1995.01.31	0.76110	0.76160	0.75600	0.75680	691	0	50
1995.02.01	0.75640	0.76100	0.75290	0.75780	1481	0	50
1995.02.02	0.75740	0.75970	0.75700	0.75970	311	0	50
1995.02.03	0.76000	0.76070	0.75050	0.75300	1341	0	50
1995.02.06	0.75090	0.75400	0.74960	0.75150	821	0	50
1995.02.07	0.75150	0.75230	0.74310	0.74550	1241	0	50
1995.02.08	0.74560	0.74800	0.74350	0.74570	891	0	50
1995.02.09	0.74520	0.74700	0.74060	0.74250	1011	0	50
1995.02.10	0.74150	0.74630	0.74150	0.74570	541	0	50
1995.02.13	0.74580	0.74850	0.74300	0.74370	891	0	50
1995.02.14	0.74370	0.74970	0.74150	0.74640	1371	0	50
1995.02.15	0.74610	0.75020	0.74500	0.74620	1031	0	50
1995.02.16	0.74560	0.74760	0.74250	0.74380	841	0	50
