<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1995.01.02	0.63980	0.64050	0.63980	0.64050	71	0	40
1995.01.03	0.64100	0.64180	0.63890	0.63970	451	0	40
1995.01.04	0.63870	0.64100	0.63760	0.63800	611	0	40
1995.01.05	0.63790	0.64020	0.63670	0.63730	641	0	40
1995.01.06	0.63760	0.64010	0.63570	0.63570	691	0	40
1995.01.09	0.63750	0.63780	0.63560	0.63640	331	0	40
1995.01.10	0.63640	0.64240	0.63640	0.64110	731	0	40
1995.01.11	0.64120	0.64220	0.64050	0.64160	301	0	40
1995.01.12	0.64110	0.64380	0.64060	0.64130	621	0	40
1995.01.13	0.64060	0.64090	0.63640	0.63850	691	0	40
1995.01.16	0.63830	0.64030	0.63770	0.64030	321	0	40
1995.01.17	0.64130	0.64150	0.63870	0.64030	461	0	40
1995.01.18	0.63980	0.64130	0.63870	0.64130	371	0	40
1995.01.19	0.64080	0.64350	0.64050	0.64290	391	0	40
1995.01.20	0.64250	0.64340	0.64110	0.64300	411	0	40
1995.01.23	0.64190	0.64590	0.64130	0.64540	571	0	40
1995.01.24	0.64550	0.64780	0.64490	0.64730	401	0	40
1995.01.25	0.64710	0.64790	0.64290	0.64340	631	0	40
1995.01.26	0.64350	0.64380	0.64080	0.64220	471	0	40
1995.01.27	0.64200	0.64240	0.63870	0.63950	491	0	40
1995.01.30	0.63780	0.64130	0.63780	0.64010	471	0	40
1995.01.31	0.64120	0.64170	0.63750	0.63780	501	0	40
1995.02.01	0.63710	0.64010	0.63710	0.63980	331	0	40
1995.02.02	0.63970	0.64170	0.63960	0.64100	291	0	40
1995.02.03	0.64070	0.64110	0.63590	0.63680	651	0	40
1995.02.06	0.63710	0.63800	0.63020	0.63240	1091	0	40
1995.02.07	0.63220	0.63310	0.62870	0.62910	571	0	40
1995.02.08	0.62970	0.63280	0.62920	0.63230	461	0	40
1995.02.09	0.63290	0.63460	0.63130	0.63270	641	0	40
1995.02.10	0.63180	0.63450	0.63180	0.63430	291	0	40
1995.02.13	0.63460	0.63500	0.63240	0.63240	301	0	40
1995.02.14	0.63300	0.63620	0.63130	0.63520	761	0	40
