<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	1094.61	1124.00	1093.08	1121.05	32158	0	0
2010.01.05	1121.40	1128.85	1115.40	1117.65	18069	0	0
2010.01.06	1119.20	1140.65	1117.30	1137.15	20033	0	0
2010.01.07	1136.60	1139.20	1128.60	1131.45	19126	0	0
2010.01.08	1127.65	1139.70	1119.80	1138.25	19990	0	0
2010.01.11	1153.60	1161.63	1148.76	1149.55	61229	0	0
2010.01.12	1148.48	1158.03	1125.43	1128.18	75774	0	0
2010.01.13	1130.10	1138.65	1118.82	1137.86	78554	0	0
2010.01.14	1138.53	1145.99	1130.94	1141.69	79324	0	0
2010.01.15	1143.98	1145.63	1126.71	1130.90	69044	0	0
2010.01.18	1132.54	1137.13	1129.21	1133.20	46509	0	0
2010.01.19	1135.52	1140.57	1128.65	1138.11	73469	0	0
2010.01.20	1138.59	1141.30	1107.03	1111.75	81703	0	0
2010.01.21	1115.33	1117.43	1088.45	1093.05	84637	0	0
2010.01.22	1094.55	1098.46	1082.15	1092.76	86171	0	0
2010.01.25	1094.72	1103.89	1092.73	1102.39	77764	0	0
2010.01.26	1100.73	1103.29	1085.52	1097.90	78153	0	0
2010.01.27	1098.76	1102.24	1083.39	1088.27	79684	0	0
2010.01.28	1088.62	1095.96	1074.01	1085.92	83977	0	0
2010.01.29	1085.48	1090.04	1074.63	1080.67	83963	0	0
2010.02.01	1082.66	1107.47	1076.52	1106.46	78843	0	0
2010.02.02	1103.43	1117.89	1098.85	1114.50	84179	0	0
2010.02.03	1115.52	1124.80	1107.09	1110.44	80699	0	0
2010.02.04	1106.31	1110.83	1059.58	1064.35	83208	0	0
2010.02.05	1064.50	1068.61	1044.46	1065.95	93817	0	0
2010.02.08	1065.28	1073.64	1061.65	1062.63	80897	0	0
2010.02.09	1063.29	1082.99	1062.90	1077.91	80269	0	0
2010.02.10	1077.50	1082.05	1063.28	1071.77	80250	0	0
2010.02.11	1073.95	1097.64	1072.39	1095.08	82373	0	0
2010.02.12	1092.97	1093.21	1077.79	1093.05	79923	0	0
2010.02.15	1096.54	1102.13	1091.45	1100.58	51511	0	0
2010.02.16	1098.88	1120.93	1097.97	1118.94	74448	0	0
2010.02.17	1117.85	1126.83	1105.02	1106.55	76413	0	0
2010.02.18	1106.94	1123.82	1097.78	1108.55	81947	0	0
2010.02.19	1100.23	1126.55	1099.34	1118.99	77698	0	0
2010.02.22	1124.85	1130.75	1109.97	1113.92	46900	0	0
2010.02.23	1114.87	1120.93	1099.08	1103.00	50409	0	0
2010.02.24	1105.88	1107.94	1089.65	1097.28	46249	0	0
2010.02.25	1100.65	1108.94	1088.10	1106.05	51033	0	0
2010.02.26	1104.38	1118.70	1104.38	1117.30	49010	0	0
2010.03.01	1117.83	1123.28	1112.05	1118.50	47972	0	0
2010.03.02	1116.85	1137.37	1114.74	1134.33	46974	0	0
2010.03.03	1135.61	1144.62	1132.13	1139.58	48537	0	0
2010.03.04	1139.03	1141.33	1125.72	1131.78	47333	0	0
2010.03.05	1131.39	1140.32	1127.35	1134.55	42460	0	0
2010.03.08	1134.85	1137.50	1118.55	1123.37	30818	0	0
2010.03.09	1122.92	1124.28	1108.45	1121.53	33625	0	0
2010.03.10	1122.25	1127.80	1103.47	1108.25	35749	0	0
2010.03.11	1109.07	1111.62	1100.45	1109.35	44718	0	0
2010.03.12	1111.34	1119.10	1098.45	1101.49	54665	0	0
2010.03.15	1104.22	1109.70	1101.24	1108.75	48145	0	0
2010.03.16	1108.88	1128.43	1108.19	1125.70	51499	0	0
2010.03.17	1126.70	1132.97	1118.22	1124.45	46108	0	0
2010.03.18	1122.47	1129.04	1118.04	1126.13	50315	0	0
2010.03.19	1125.98	1126.82	1101.38	1106.64	50731	0	0
2010.03.22	1105.62	1108.65	1092.41	1101.63	38764	0	0
2010.03.23	1105.00	1107.84	1094.39	1104.85	64495	0	0
2010.03.24	1102.85	1105.02	1085.05	1086.52	70723	0	0
2010.03.25	1086.83	1095.65	1086.54	1089.80	70816	0	0
2010.03.26	1091.01	1109.13	1089.16	1107.10	64616	0	0
2010.03.29	1110.18	1114.53	1103.43	1109.61	53247	0	0
2010.03.30	1109.95	1113.22	1101.56	1103.33	52352	0	0
2010.03.31	1102.81	1117.86	1102.49	1112.89	58087	0	0
2010.04.01	1112.98	1127.69	1111.45	1126.50	62526	0	0
2010.04.02	1125.40	1126.71	1118.60	1122.18	42126	0	0
2010.04.05	1125.39	1133.15	1122.45	1131.58	50932	0	0
2010.04.06	1131.55	1138.43	1122.64	1133.98	56854	0	0
2010.04.07	1135.78	1152.90	1132.30	1149.04	57784	0	0
2010.04.08	1148.86	1153.53	1143.46	1150.24	56037	0	0
2010.04.09	1150.17	1164.37	1149.31	1161.54	53818	0	0
2010.04.12	1167.03	1169.44	1154.09	1156.10	56078	0	0
2010.04.13	1155.31	1156.90	1145.05	1150.37	58005	0	0
2010.04.14	1151.63	1161.65	1150.12	1155.06	59147	0	0
