<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.03.30	740.180	746.800	723.270	729.370	3584	0	0
2015.03.31	727.770	739.020	724.070	735.520	3311	0	0
2015.04.01	734.190	750.590	733.090	748.190	3074	0	0
2015.04.02	748.260	755.500	741.040	746.260	2950	0	0
2015.04.06	747.940	774.120	747.940	768.410	2699	0	0
2015.04.07	768.070	777.820	764.720	769.710	2997	0	0
2015.04.08	769.380	773.080	753.950	755.250	2919	0	0
2015.04.09	755.360	765.010	752.600	763.050	3131	0	0
2015.04.10	762.090	779.480	759.970	777.210	2692	0	0
2015.04.13	778.350	787.560	765.550	770.300	3007	0	0
2015.04.14	769.420	770.930	756.340	764.450	3391	0	0
2015.04.15	763.240	773.400	759.370	770.690	2821	0	0
2015.04.16	768.990	783.180	768.050	780.370	3368	0	0
2015.04.17	779.870	786.030	777.460	785.890	2808	0	0
2015.04.20	785.540	787.790	765.100	774.030	3414	0	0
2015.04.21	772.440	779.130	768.200	768.950	3314	0	0
2015.04.22	768.370	773.580	754.890	755.820	5196	0	0
2015.04.23	755.350	777.030	755.350	770.060	4473	0	0
2015.04.24	769.080	777.990	768.110	771.310	4175	0	0
2015.04.27	772.840	785.670	767.720	779.140	4354	0	0
2015.04.28	777.550	782.870	771.330	776.950	3826	0	0
2015.04.29	775.960	785.200	772.890	781.770	4223	0	0
2015.04.30	782.220	784.410	769.680	777.350	4097	0	0
2015.05.01	778.110	781.160	771.030	773.730	2965	0	0
2015.05.04	771.520	784.260	770.830	781.990	3560	0	0
2015.05.05	781.390	798.150	777.870	792.070	3721	0	0
2015.05.06	792.300	796.840	787.630	793.460	3094	0	0
2015.05.07	792.210	793.910	787.640	788.790	1837	0	0
2015.05.22	777.860	784.790	769.710	782.730	1618	0	0
2015.05.25	782.190	789.100	776.810	787.990	598	0	0
2015.05.26	786.920	788.070	779.160	780.160	2780	0	0
2015.05.27	780.180	787.300	778.090	785.820	1967	0	0
2015.05.28	784.410	788.640	780.380	785.300	1897	0	0
2015.05.29	783.820	786.530	775.320	776.480	2975	0	0
2015.06.01	776.160	778.890	771.280	772.900	2753	0	0
2015.06.02	771.650	776.280	764.240	767.580	2742	0	0
2015.06.03	767.470	768.800	751.710	757.480	2404	0	0
2015.06.04	757.510	760.300	753.230	754.550	3085	0	0
2015.06.05	754.820	757.220	747.000	752.030	2350	0	0
2015.06.08	751.590	754.270	742.110	744.420	2251	0	0
2015.06.09	743.480	751.630	739.380	739.860	2846	0	0
2015.06.10	741.190	749.010	739.220	744.230	2306	0	0
2015.06.11	743.330	747.890	738.270	744.030	2836	0	0
2015.06.12	744.510	746.990	735.940	736.820	2496	0	0
2015.06.15	737.150	740.190	732.950	734.340	2681	0	0
