<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.03.30	1140.270	1140.390	1114.260	1120.040	5707	0	0
2015.03.31	1119.240	1143.940	1114.690	1140.920	5844	0	0
2015.04.01	1140.770	1168.400	1132.780	1162.990	6422	0	0
2015.04.02	1163.120	1165.410	1149.520	1154.970	6257	0	0
2015.04.06	1161.270	1186.920	1161.270	1176.860	5751	0	0
2015.04.07	1175.760	1176.230	1163.890	1171.890	4666	0	0
2015.04.08	1172.050	1176.350	1159.740	1164.610	6339	0	0
2015.04.09	1163.700	1165.520	1153.690	1154.990	5170	0	0
2015.04.10	1154.750	1176.020	1152.620	1171.290	6127	0	0
2015.04.13	1172.020	1173.380	1147.680	1151.190	6825	0	0
2015.04.14	1151.650	1159.330	1140.080	1150.610	8775	0	0
2015.04.15	1150.830	1163.810	1145.790	1161.110	7251	0	0
2015.04.16	1160.750	1174.320	1152.680	1159.680	9634	0	0
2015.04.17	1159.330	1171.230	1157.160	1170.770	8376	0	0
2015.04.20	1170.780	1172.960	1143.060	1147.320	6781	0	0
2015.04.21	1147.250	1158.910	1144.810	1148.820	5654	0	0
2015.04.22	1148.700	1151.170	1128.070	1128.520	7175	0	0
2015.04.23	1128.620	1139.500	1126.420	1136.470	7001	0	0
2015.04.24	1135.540	1138.190	1118.380	1123.810	7058	0	0
2015.04.27	1124.510	1154.280	1117.880	1147.760	8014	0	0
2015.04.28	1145.410	1160.190	1139.970	1156.860	7480	0	0
2015.04.29	1155.870	1162.280	1150.500	1153.940	7370	0	0
2015.04.30	1154.040	1155.110	1130.230	1143.280	9598	0	0
2015.05.01	1141.850	1145.000	1126.290	1131.160	6999	0	0
2015.05.04	1128.030	1154.140	1126.020	1147.230	4657	0	0
2015.05.05	1146.820	1156.960	1141.590	1145.390	5843	0	0
2015.05.06	1145.620	1150.060	1135.760	1143.130	5624	0	0
2015.05.07	1143.460	1146.070	1128.980	1130.440	6761	0	0
2015.05.08	1130.740	1144.570	1128.630	1140.790	6333	0	0
2015.05.11	1140.980	1142.220	1122.000	1125.240	5608	0	0
2015.05.12	1124.960	1141.140	1123.520	1132.480	5598	0	0
2015.05.13	1132.720	1153.220	1129.190	1147.920	6927	0	0
2015.05.14	1149.000	1165.930	1144.860	1157.850	6111	0	0
2015.05.15	1158.160	1172.330	1150.350	1167.700	7559	0	0
2015.05.18	1167.400	1178.360	1162.480	1176.000	6485	0	0
2015.05.19	1175.490	1175.490	1146.210	1149.280	8209	0	0
2015.05.20	1148.790	1159.320	1147.050	1155.450	7030	0	0
2015.05.21	1155.130	1158.570	1144.710	1153.670	6500	0	0
2015.05.22	1152.660	1160.640	1143.170	1145.540	6944	0	0
2015.05.25	1144.680	1151.070	1142.760	1149.720	2537	0	0
2015.05.26	1148.020	1149.130	1121.800	1123.900	7499	0	0
2015.05.27	1122.370	1130.270	1114.570	1116.990	4655	0	0
2015.05.28	1117.370	1126.620	1108.690	1116.450	5044	0	0
2015.05.29	1115.950	1119.210	1110.230	1111.750	6199	0	0
2015.06.01	1111.880	1123.600	1102.360	1102.710	7806	0	0
2015.06.02	1102.800	1114.400	1100.710	1111.860	7924	0	0
2015.06.03	1112.360	1116.290	1100.130	1102.630	6941	0	0
2015.06.04	1101.780	1108.940	1094.770	1099.470	7593	0	0
2015.06.05	1098.610	1101.000	1088.390	1095.760	7171	0	0
2015.06.08	1094.350	1103.700	1093.180	1101.480	5134	0	0
2015.06.09	1101.630	1114.920	1101.160	1107.650	4816	0	0
2015.06.10	1107.500	1119.790	1105.490	1113.910	6430	0	0
2015.06.11	1114.400	1117.270	1101.640	1107.580	6011	0	0
2015.06.12	1107.540	1108.150	1093.880	1094.960	4572	0	0
2015.06.15	1096.670	1098.880	1077.930	1087.510	6669	0	0
2015.06.16	1086.780	1095.040	1078.760	1080.120	3943	0	0
2015.06.17	1079.630	1085.690	1071.600	1081.100	5570	0	0
2015.06.18	1080.060	1095.790	1077.660	1082.230	5999	0	0
2015.06.19	1081.610	1088.910	1081.070	1084.090	3823	0	0
2015.06.22	1083.900	1085.090	1058.540	1061.080	4818	0	0
2015.06.23	1061.120	1074.770	1059.260	1066.400	4249	0	0
2015.06.24	1066.660	1076.630	1064.750	1076.510	3762	0	0
2015.06.25	1075.380	1085.060	1072.270	1084.030	4374	0	0
2015.06.26	1082.410	1083.890	1070.530	1081.800	4292	0	0
2015.06.29	1083.160	1094.460	1067.280	1080.450	6662	0	0
2015.06.30	1080.950	1086.070	1074.460	1078.360	6870	0	0
2015.07.01	1080.560	1089.910	1079.200	1081.770	4677	0	0
2015.07.02	1082.550	1086.040	1073.350	1083.470	4970	0	0
2015.07.03	1083.870	1086.540	1080.870	1082.760	3001	0	0
2015.07.06	1086.770	1086.770	1047.930	1063.590	5511	0	0
2015.07.07	1063.130	1068.500	1026.860	1039.950	7953	0	0
2015.07.08	1036.980	1039.010	1010.230	1031.280	10335	0	0
2015.07.09	1030.630	1039.750	1019.810	1022.750	8188	0	0
2015.07.10	1024.030	1038.650	1020.740	1032.050	5864	0	0
2015.07.13	1031.250	1037.450	1020.620	1034.270	7365	0	0
2015.07.14	1033.690	1036.020	1025.070	1026.220	4988	0	0
2015.07.15	1025.970	1030.860	1013.980	1021.770	4711	0	0
2015.07.16	1021.250	1021.900	1005.670	1010.660	5673	0	0
2015.07.17	1009.980	1010.640	993.000	994.230	4524	0	0
2015.07.20	994.880	996.230	945.640	978.090	7463	0	0
2015.07.21	975.620	992.900	965.430	977.070	7233	0	0
2015.07.22	978.780	979.690	960.920	979.370	6833	0	0
2015.07.23	980.000	998.980	973.160	977.400	6968	0	0
2015.07.24	978.880	990.260	968.780	987.520	7789	0	0
2015.07.27	987.490	992.230	975.880	982.340	7716	0	0
2015.07.28	983.970	986.840	976.720	984.210	5485	0	0
2015.07.29	983.520	990.540	977.520	986.280	5809	0	0
2015.07.30	984.820	994.040	978.420	988.530	6259	0	0
2015.07.31	988.280	994.760	972.510	982.490	6782	0	0
2015.08.03	980.460	984.910	956.590	961.000	5962	0	0
2015.08.04	960.220	961.440	944.410	953.570	5883	0	0
2015.08.05	952.360	955.830	946.840	948.430	4961	0	0
2015.08.06	948.220	956.950	945.080	950.610	4180	0	0
2015.08.07	949.220	965.080	945.060	961.610	6591	0	0
2015.08.10	960.030	990.600	955.520	984.770	5849	0	0
2015.08.11	984.040	1000.710	973.830	985.910	8946	0	0
2015.08.12	986.100	1005.630	977.710	999.870	8134	0	0
2015.08.13	1000.610	1001.870	986.930	991.560	6006	0	0
2015.08.14	990.480	1002.320	984.470	991.250	5446	0	0
2015.08.17	989.780	999.860	988.280	997.980	4477	0	0
2015.08.18	998.040	999.980	979.880	994.100	6071	0	0
2015.08.19	993.850	1015.290	986.850	1014.030	7002	0	0
2015.08.20	1013.380	1034.550	1010.220	1031.400	7295	0	0
2015.08.21	1032.440	1036.880	1014.930	1018.370	9485	0	0
2015.08.24	1021.000	1027.200	974.820	990.020	20171	0	0
2015.08.25	990.620	1001.040	969.570	976.360	12511	0	0
2015.08.26	975.680	986.650	969.520	982.220	6801	0	0
2015.08.27	982.430	1008.000	979.760	999.270	6495	0	0
2015.08.28	1001.030	1025.160	997.530	1017.190	10086	0	0
2015.08.31	1015.710	1015.710	996.730	1008.650	5976	0	0
2015.09.01	1007.420	1016.690	997.550	1001.890	9060	0	0
2015.09.02	1001.730	1016.770	1000.140	1014.560	8048	0	0
2015.09.03	1014.600	1022.230	1002.020	1005.810	7910	0	0
2015.09.04	1005.250	1009.680	989.080	989.720	7411	0	0
2015.09.07	991.830	994.680	979.240	988.270	5723	0	0
2015.09.08	987.620	1010.900	985.640	1002.850	6115	0	0
2015.09.09	1002.710	1009.620	978.640	980.020	6204	0	0
2015.09.10	979.750	991.180	975.360	978.030	4227	0	0
2015.09.11	980.040	985.110	958.340	969.360	11037	0	0
2015.09.14	965.910	972.900	951.400	954.900	7190	0	0
2015.09.15	954.400	963.090	949.010	961.900	5979	0	0
2015.09.16	962.150	975.810	954.900	972.740	5781	0	0
2015.09.17	971.960	987.060	959.900	982.810	7804	0	0
2015.09.18	980.540	989.770	970.400	980.960	8168	0	0
2015.09.21	970.060	983.060	968.110	969.400	4303	0	0
2015.09.22	968.930	971.960	934.270	934.860	6010	0	0
2015.09.23	934.400	946.000	925.980	931.490	6661	0	0
2015.09.24	932.180	958.800	931.400	954.250	10883	0	0
2015.09.25	952.930	953.900	943.100	946.260	10525	0	0
2015.09.28	946.370	949.340	915.500	917.250	10080	0	0
2015.09.29	916.180	920.900	898.900	916.400	7997	0	0
2015.09.30	916.900	927.190	905.840	907.230	6371	0	0
2015.10.01	907.280	917.430	899.990	904.460	4985	0	0
2015.10.02	904.440	914.460	892.760	909.890	5950	0	0
2015.10.05	909.740	926.420	906.700	914.530	5939	0	0
2015.10.06	914.440	942.230	912.120	935.440	4399	0	0
2015.10.07	934.760	953.810	933.770	945.330	5357	0	0
2015.10.08	945.560	956.770	931.880	948.210	6411	0	0
2015.10.09	948.650	985.120	943.500	981.220	6798	0	0
2015.10.12	979.910	1000.710	976.440	995.170	5100	0	0
2015.10.13	995.270	997.320	977.400	989.310	5880	0	0
2015.10.14	989.670	999.760	983.950	997.420	5852	0	0
2015.10.15	997.670	1006.100	985.560	1004.010	6357	0	0
2015.10.16	1003.870	1024.820	994.720	1013.540	5867	0	0
2015.10.19	1014.940	1019.470	1008.440	1012.190	6082	0	0
2015.10.20	1012.280	1022.500	1004.880	1018.860	5229	0	0
2015.10.21	1017.760	1022.130	1000.280	1003.740	5085	0	0
2015.10.22	1003.380	1011.390	998.380	1009.750	4907	0	0
2015.10.23	1009.650	1018.670	994.440	1000.480	5738	0	0
2015.10.26	998.780	1001.970	985.940	995.100	3668	0	0
2015.10.27	994.840	995.850	981.860	986.700	3695	0	0
2015.10.28	986.690	1012.440	984.040	1000.080	5388	0	0
2015.10.29	999.250	1001.260	988.340	990.820	4658	0	0
2015.10.30	991.420	997.930	983.230	983.720	4553	0	0
2015.11.02	983.300	983.970	969.300	976.390	3793	0	0
2015.11.03	975.350	982.270	958.240	961.760	3158	0	0
2015.11.04	961.520	975.230	950.940	953.710	5326	0	0
2015.11.05	953.420	958.790	948.570	949.400	4168	0	0
2015.11.06	949.500	959.470	936.130	939.380	4954	0	0
2015.11.09	939.680	941.510	908.790	912.490	4679	0	0
2015.11.10	911.980	917.290	895.930	899.690	4313	0	0
2015.11.11	899.420	905.980	878.760	881.300	4542	0	0
2015.11.12	880.950	886.880	872.840	877.310	6030	0	0
2015.11.13	877.010	882.730	858.460	859.960	5181	0	0
2015.11.16	864.210	873.640	856.660	865.540	4590	0	0
2015.11.17	864.880	872.580	849.110	853.180	5376	0	0
2015.11.18	852.980	854.430	844.410	848.740	5219	0	0
2015.11.19	848.700	862.970	847.550	854.610	4698	0	0
2015.11.20	855.030	868.180	851.580	853.540	4211	0	0
2015.11.23	854.130	855.960	843.680	844.350	3295	0	0
2015.11.24	844.990	851.180	836.210	842.300	5283	0	0
2015.11.25	841.550	848.590	832.860	844.110	4594	0	0
2015.11.26	843.800	856.030	842.350	852.170	3222	0	0
2015.11.27	851.710	856.590	833.230	836.070	4270	0	0
2015.11.30	834.770	837.990	825.240	830.550	4485	0	0
2015.12.01	831.150	845.730	830.710	839.150	4669	0	0
2015.12.02	838.120	852.280	828.830	830.570	4761	0	0
2015.12.03	832.210	848.910	825.030	846.930	7038	0	0
2015.12.04	846.900	886.850	844.360	879.090	8245	0	0
2015.12.07	880.840	886.350	850.990	854.530	5844	0	0
2015.12.08	854.170	862.650	844.130	846.480	6051	0	0
2015.12.09	846.320	865.740	845.520	855.910	6481	0	0
2015.12.10	854.680	861.880	847.780	854.330	5433	0	0
2015.12.11	853.630	858.620	837.430	839.990	5569	0	0
2015.12.14	841.380	855.630	836.090	847.850	5714	0	0
2015.12.15	847.510	859.760	845.670	854.370	5344	0	0
2015.12.16	854.750	879.210	853.490	873.310	5934	0	0
2015.12.17	872.430	882.510	841.160	843.230	6156	0	0
2015.12.18	842.860	861.330	839.250	858.020	5700	0	0
2015.12.21	858.270	880.450	853.800	872.400	5442	0	0
2015.12.22	872.100	878.730	868.880	870.090	4168	0	0
2015.12.23	870.820	874.890	861.330	867.070	2787	0	0
2015.12.24	867.920	884.260	867.530	883.090	2932	0	0
2015.12.28	881.480	892.190	873.200	879.990	3871	0	0
2015.12.29	880.050	893.260	878.090	887.370	4070	0	0
2015.12.30	887.670	893.270	851.890	868.920	2962	0	0
2015.12.31	868.900	892.910	864.150	888.710	2223	0	0
2016.01.04	886.860	892.020	872.800	882.460	6992	0	0
2016.01.05	881.300	896.770	878.760	887.330	5959	0	0
2016.01.06	887.220	890.910	871.940	874.480	7722	0	0
2016.01.07	874.940	883.270	860.830	877.050	9518	0	0
2016.01.08	876.810	884.440	864.440	878.980	8922	0	0
2016.01.11	877.180	880.410	841.510	843.200	4151	0	0
2016.01.12	843.120	847.940	829.760	835.580	6739	0	0
2016.01.13	835.280	854.400	831.740	847.890	5784	0	0
2016.01.14	847.290	850.980	829.080	835.010	5225	0	0
2016.01.15	834.660	843.680	821.910	828.670	5533	0	0
2016.01.18	827.520	831.210	817.050	819.590	4690	0	0
2016.01.19	820.090	834.620	818.610	825.820	5379	0	0
2016.01.20	826.360	828.180	813.850	819.770	6740	0	0
2016.01.21	819.790	826.500	810.690	817.920	6318	0	0
2016.01.22	817.230	842.020	815.770	830.250	5867	0	0
2016.01.25	832.810	863.540	831.280	856.720	6616	0	0
2016.01.26	857.370	878.010	853.420	874.040	5984	0	0
2016.01.27	873.640	882.980	870.010	880.110	6314	0	0
2016.01.28	880.590	884.760	861.340	864.680	6834	0	0
2016.01.29	865.780	875.020	858.980	870.350	7684	0	0
2016.02.01	869.170	875.540	863.740	869.160	5658	0	0
2016.02.02	868.790	870.990	851.910	854.710	5202	0	0
2016.02.03	855.420	881.680	850.250	879.410	6906	0	0
2016.02.04	879.100	908.470	877.460	908.140	7275	0	0
2016.02.05	907.480	912.550	894.310	911.360	8071	0	0
2016.02.08	910.380	931.630	899.250	924.540	8432	0	0
2016.02.09	925.650	937.070	919.930	932.770	8654	0	0
2016.02.10	931.580	934.640	920.610	933.910	9217	0	0
2016.02.11	934.010	967.590	931.780	959.740	10212	0	0
2016.02.12	959.580	959.780	949.000	955.290	9348	0	0
2016.02.15	952.370	953.750	931.220	936.050	6875	0	0
2016.02.16	934.860	939.160	925.120	929.340	7764	0	0
2016.02.17	930.400	949.330	927.700	941.980	7790	0	0
2016.02.18	941.470	946.540	933.430	943.350	6295	0	0
2016.02.19	943.540	948.920	937.580	938.040	8745	0	0
2016.02.22	939.050	939.360	918.060	926.820	5937	0	0
2016.02.23	926.210	944.600	923.950	942.770	7310	0	0
2016.02.24	942.090	955.350	934.840	937.850	8898	0	0
2016.02.25	937.700	945.200	916.560	925.550	8913	0	0
2016.02.26	923.310	929.200	910.990	913.270	7883	0	0
2016.02.29	912.320	935.980	909.520	933.030	5573	0	0
2016.03.01	933.410	944.660	930.790	938.080	7029	0	0
2016.03.02	936.550	940.540	929.620	934.330	6034	0	0
2016.03.03	934.300	949.940	929.810	948.550	5895	0	0
2016.03.04	953.880	986.170	942.010	978.450	11373	0	0
2016.03.07	978.950	1008.770	974.680	998.220	8377	0	0
2016.03.08	999.140	1006.630	980.580	981.830	5956	0	0
2016.03.09	981.080	985.170	970.450	978.050	6409	0	0
2016.03.10	978.540	988.750	969.590	978.980	10104	0	0
2016.03.11	977.470	991.360	959.810	961.440	6010	0	0
2016.03.14	963.760	975.540	953.710	957.650	5395	0	0
2016.03.15	957.960	963.290	949.700	955.820	5095	0	0
2016.03.16	956.570	980.520	953.920	975.970	3876	0	0
2016.03.17	974.030	994.480	972.170	983.500	4425	0	0
2016.03.18	982.890	991.500	967.120	970.950	3146	0	0
2016.03.21	969.990	982.200	960.710	981.740	2898	0	0
2016.03.22	981.990	998.380	975.220	995.100	4636	0	0
2016.03.23	994.000	998.730	954.500	958.260	5540	0	0
2016.03.24	960.350	960.760	941.820	946.750	4624	0	0
2016.03.28	945.460	955.430	937.500	944.600	2696	0	0
2016.03.29	944.750	968.830	942.780	967.340	3480	0	0
2016.03.30	967.160	977.700	960.100	962.460	5376	0	0
2016.03.31	962.820	982.600	961.400	974.610	4778	0	0
2016.04.01	974.360	984.860	950.220	956.370	6649	0	0
2016.04.04	955.200	958.690	939.360	940.740	4645	0	0
2016.04.05	938.590	965.540	935.590	950.500	5387	0	0
2016.04.06	950.480	959.570	941.010	944.910	5487	0	0
2016.04.07	944.660	964.000	944.390	956.960	6507	0	0
2016.04.08	956.740	968.290	953.600	967.020	5538	0	0
2016.04.11	967.220	992.110	965.590	988.330	4596	0	0
2016.04.12	987.310	1001.770	983.920	999.730	3783	0	0
2016.04.13	997.460	1000.830	985.460	998.030	3536	0	0
2016.04.14	996.320	997.360	982.750	989.130	5428	0	0
2016.04.15	989.030	989.790	980.390	984.000	5152	0	0
2016.04.18	984.930	986.800	968.630	977.180	5497	0	0
2016.04.19	977.430	1015.610	972.400	1012.550	7153	0	0
2016.04.20	1011.700	1029.300	1005.850	1016.770	7124	0	0
2016.04.21	1016.010	1043.440	1013.790	1024.670	9684	0	0
2016.04.22	1023.480	1032.280	1005.840	1008.920	9326	0	0
2016.04.25	1005.840	1018.070	998.490	1014.980	6456	0	0
2016.04.26	1014.710	1020.910	1001.060	1012.780	6255	0	0
2016.04.27	1012.200	1027.330	1010.770	1025.380	6848	0	0
2016.04.28	1024.000	1052.610	1016.890	1049.420	7598	0	0
2016.04.29	1050.550	1080.450	1049.590	1077.050	5456	0	0
2016.05.02	1076.220	1084.950	1070.250	1077.330	4656	0	0
2016.05.03	1076.530	1089.300	1061.950	1064.210	3539	0	0
