<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	16.860	17.590	16.810	17.080	14318	0	0
2010.01.05	17.630	17.870	17.460	17.720	5160	0	0
2010.01.06	17.710	18.230	17.700	18.200	5239	0	0
2010.01.07	18.130	18.370	18.040	18.250	5224	0	0
2010.01.08	18.080	18.510	18.000	18.490	5456	0	0
2010.01.11	18.680	18.870	18.530	18.540	18519	0	0
2010.01.12	18.520	18.790	18.140	18.160	27519	0	0
2010.01.13	18.280	18.620	18.180	18.600	28667	0	0
2010.01.14	18.590	18.710	18.400	18.540	31310	0	0
2010.01.15	18.620	18.660	18.370	18.390	21651	0	0
2010.01.18	18.400	18.680	18.360	18.620	22165	0	0
2010.01.19	18.650	18.830	18.430	18.740	24648	0	0
2010.01.20	18.730	18.830	17.780	17.850	26016	0	0
2010.01.21	17.950	18.050	17.310	17.310	27598	0	0
2010.01.22	17.390	17.490	16.860	17.020	25820	0	0
2010.01.25	17.030	17.240	16.970	17.110	25624	0	0
2010.01.26	17.180	17.250	16.330	16.760	28733	0	0
2010.01.27	16.860	16.950	16.410	16.430	30193	0	0
2010.01.28	16.570	16.740	16.010	16.110	26451	0	0
2010.01.29	16.200	16.330	16.010	16.200	24238	0	0
2010.02.01	16.220	16.690	16.080	16.670	26909	0	0
2010.02.02	16.610	16.790	16.530	16.700	25605	0	0
2010.02.03	16.700	16.930	16.260	16.380	26193	0	0
2010.02.04	16.320	16.410	15.160	15.260	26510	0	0
2010.02.05	15.280	15.360	14.650	15.140	27789	0	0
2010.02.08	15.070	15.290	14.930	14.970	28376	0	0
2010.02.09	15.030	15.570	15.010	15.420	26341	0	0
2010.02.10	15.490	15.620	15.070	15.200	23619	0	0
2010.02.11	15.260	15.710	15.170	15.640	26948	0	0
2010.02.12	15.650	15.690	15.200	15.510	26483	0	0
2010.02.15	15.570	15.620	15.430	15.550	19216	0	0
2010.02.16	15.490	16.200	15.480	16.120	24552	0	0
2010.02.17	16.080	16.320	15.820	15.860	23836	0	0
2010.02.18	15.860	16.250	15.660	15.840	29543	0	0
2010.02.19	15.760	16.500	15.750	16.300	20314	0	0
2010.02.22	16.430	16.570	16.140	16.260	5211	0	0
2010.02.23	16.240	16.440	15.780	15.830	5641	0	0
2010.02.24	15.870	16.030	15.620	15.960	7321	0	0
2010.02.25	16.070	16.140	15.610	16.070	6261	0	0
2010.02.26	16.030	16.520	16.030	16.460	7791	0	0
2010.03.01	16.660	16.780	16.400	16.470	6041	0	0
2010.03.02	16.440	17.060	16.320	16.900	5433	0	0
2010.03.03	16.940	17.360	16.860	17.200	5727	0	0
2010.03.04	17.170	17.370	17.050	17.100	6214	0	0
2010.03.05	17.180	17.470	17.110	17.340	4873	0	0
2010.03.08	17.300	17.510	17.120	17.220	2516	0	0
2010.03.09	17.190	17.380	16.870	17.240	2833	0	0
2010.03.10	17.270	17.620	16.940	17.020	3319	0	0
2010.03.11	17.090	17.190	16.810	17.180	4272	0	0
2010.03.12	17.210	17.350	16.950	17.060	4844	0	0
2010.03.15	17.150	17.170	16.950	17.100	4267	0	0
2010.03.16	17.160	17.460	17.140	17.410	3776	0	0
2010.03.17	17.430	17.580	17.340	17.470	4070	0	0
2010.03.18	17.510	17.530	17.110	17.370	3767	0	0
2010.03.19	17.370	17.400	16.950	16.980	3849	0	0
2010.03.23	16.990	17.120	16.710	17.000	4647	0	0
2010.03.24	16.940	16.970	16.540	16.540	5589	0	0
2010.03.25	16.570	16.830	16.540	16.560	3569	0	0
2010.03.26	16.610	16.950	16.560	16.890	3774	0	0
2010.03.29	17.050	17.420	16.910	17.380	3269	0	0
2010.03.30	17.340	17.460	17.180	17.270	3986	0	0
